timestamp;message
1677077565453;setting manual 0 0
1677077566449;setting manual 0 0
1677077567450;setting manual 0 0
1677077568136;
1677077568449;
1677077569450;
1677077570451;
1677077571445;
1677077572444;setting manual 0 0
1677077573453;setting manual 0 0
1677077574451;setting manual 0 0
1677077575449;setting manual 0 0
1677077576458;setting manual 0 0
1677077577453;setting manual 0 0
1677077578450;setting manual 0 0
1677077579456;setting manual 0 0
1677077580473;setting manual 0 0
1677077581914;setting manual 0 0
1677077583009;setting manual 0 0
1677077583971;setting manual 0 0
1677077585008;setting manual 0 0
1677077585913;setting manual 0 0
1677077586918;setting manual 0 0
1677077587916;setting manual 0 0
1677077588914;setting manual 0 0
1677077589917;setting manual 0 0
1677077590921;setting manual 0 0
1677077591916;setting manual 0 0
1677077592920;setting manual 0 0
1677077593917;setting manual 0 0
1677077594934;setting manual 0 0
1677077595915;setting manual 0 0
1677077596918;setting manual 0 0
1677077597917;setting manual 0 0
1677077599007;setting manual 0 0
1677077599917;setting manual 0 0
1677077600920;setting manual 0 0
1677077601916;setting manual 0 0
1677077602917;setting manual 0 0
1677077603915;setting manual 0 0
1677077604916;setting manual 0 0
1677077605917;setting manual 0 0
1677077606917;setting manual 0 0
1677077607917;setting manual 0 0
1677077608918;setting manual 0 0
1677077609923;setting manual 0 0
1677077610915;setting manual 0 0
1677077612017;setting manual 0 0
1677077612948;setting manual 0 0
1677077613969;setting manual 0 0
1677077614996;setting manual 0 0
1677077615973;setting manual 0 0
1677077616469;setting manual 0 0
1677077617445;setting manual 0 0
