timestamp;x;y;theta
1677056508700;0.7269;-0.8558;0
1677056508719;0.7269;-0.8558;0
1677056508735;0.7269;-0.8558;0
1677056508751;0.7269;-0.8558;0
1677056508769;0.7269;-0.8558;0
1677056508799;0.7269;-0.8558;0
1677056508813;0.7269;-0.8558;0
1677056508835;0.7269;-0.8558;0
1677056508854;0.7269;-0.8558;0
1677056508870;0.7269;-0.8558;0
1677056508891;0.7269;-0.8558;0
1677056508926;0.7269;-0.8558;0
1677056508939;0.7269;-0.8558;0
1677056508965;0.7269;-0.8558;0
1677056508971;0.7269;-0.8558;0
1677056508994;0.7269;-0.8558;0
1677056509019;0.7269;-0.8558;0
1677056509030;0.7269;-0.8558;0
1677056509054;0.7269;-0.8558;0
1677056509070;0.7269;-0.8558;0
1677056509102;0.7269;-0.8558;0
1677056509119;0.7269;-0.8558;0
1677056509137;0.7269;-0.8558;0
1677056509154;0.7269;-0.8558;0
1677056509174;0.7269;-0.8558;0
1677056509205;0.7269;-0.8558;0
1677056509220;0.7269;-0.8558;0
1677056509239;0.7269;-0.8558;0
1677056509253;0.7269;-0.8558;0
1677056509270;0.7269;-0.8558;0
1677056509296;0.7269;-0.8558;0
1677056509315;0.7269;-0.8558;0
1677056509334;0.7269;-0.8558;0
1677056509351;0.7269;-0.8558;0
1677056509370;0.7269;-0.8558;0
1677056509395;0.7269;-0.8558;0
1677056509414;0.7269;-0.8558;0
1677056509435;0.7269;-0.8558;0
1677056509451;0.7269;-0.8558;0
1677056509472;0.7269;-0.8558;0
1677056509489;0.7269;-0.8558;0
1677056509516;0.7269;-0.8558;0
1677056509531;0.7269;-0.8558;0
1677056509551;0.7269;-0.8558;0
1677056509574;0.7269;-0.8558;0
1677056509600;0.7269;-0.8558;0
1677056509614;0.7269;-0.8558;0
1677056509634;0.7269;-0.8558;0
1677056509651;0.7269;-0.8558;0
1677056509681;0.7269;-0.8558;0
1677056509695;0.7269;-0.8558;0
1677056509718;0.7269;-0.8558;0
1677056509734;0.7269;-0.8558;0
1677056509751;0.7269;-0.8558;0
1677056509779;0.7269;-0.8558;0
1677056509798;0.7269;-0.8558;0
1677056509817;0.7269;-0.8558;0
1677056509834;0.7269;-0.8558;0
1677056509853;0.7269;-0.8558;1.6159999999999999
1677056509870;0.7269;-0.8558;3.2319999999999998
1677056509889;0.7269;-0.8558;4.848
1677056509916;0.7269;-0.8558;6.4639999999999995
1677056509934;0.7269;-0.8558;8.08
1677056509953;0.7269;-0.8558;9.696
1677056509972;0.7269;-0.8558;11.312
1677056510003;0.7269;-0.8558;12.927999999999999
1677056510019;0.7269;-0.8558;14.543999999999999
1677056510036;0.7269;-0.8558;16.16
1677056510053;0.7269;-0.8558;17.776
1677056510070;0.7269;-0.8558;19.392
1677056510096;0.7269;-0.8558;21.008
1677056510118;0.7269;-0.8558;22.624
1677056510136;0.7269;-0.8558;24.24
1677056510153;0.7269;-0.8558;25.855999999999998
1677056510172;0.7269;-0.8558;27.471999999999998
1677056510201;0.7269;-0.8558;29.087999999999997
1677056510219;0.7269;-0.8558;30.703999999999997
1677056510236;0.7269;-0.8558;32.32000000000001
1677056510252;0.7269;-0.8558;33.93600000000008
1677056510271;0.7269;-0.8558;35.55200000000015
1677056510296;0.7269;-0.8558;37.16800000000022
1677056510315;0.7269;-0.8558;38.78400000000029
1677056510334;0.7269;-0.8558;40.40000000000036
1677056510351;0.7269;-0.8558;42.01600000000043
1677056510375;0.7269;-0.8558;43.6320000000005
1677056510398;0.7269;-0.8558;45.24800000000057
1677056510414;0.7269;-0.8558;46.864000000000644
1677056510434;0.7269;-0.8558;48.480000000000715
1677056510450;0.7269;-0.8558;50.096000000000785
1677056510481;0.7269;-0.8558;51.712000000000856
1677056510493;0.7269;-0.8558;53.32800000000093
1677056510516;0.7269;-0.8558;54.944000000001
1677056510531;0.7269;-0.8558;56.56000000000107
