timestamp;message
1677056051968;setting manual 0 0
1677056052966;setting manual 0 0
1677056053123;
1677056053966;
1677056054967;
1677056055968;
1677056056969;
1677056057969;
1677056058969;
1677056059961;
1677056060969;
1677056061970;
1677056062968;
1677056063958;
1677056064965;
1677056065974;
1677056067629;
1677056068640;
1677056069638;
1677056070630;
1677056071631;
1677056072630;
1677056073631;
1677056074638;
1677056075642;
1677056076644;
1677056077634;
1677056078633;
1677056079642;
1677056080636;
1677056081736;
1677056082487;
1677056082972;
1677056083967;
1677056084968;
1677056085965;
1677056086965;
1677056087965;
1677056088964;
1677056089966;
1677056090967;
1677056091966;setting manual 0 0
1677056092969;setting manual 0 0
1677056093960;setting manual 0 0
1677056094969;setting manual 0 0
1677056094988;
1677056095968;
1677056096968;
1677056097971;
1677056098972;
1677056099971;
1677056100973;
1677056101972;
1677056102972;
1677056103958;
1677056104961;
1677056105959;setting manual 0 0
1677056106962;setting manual 0 0
1677056107959;setting manual 0 0
1677056108960;setting manual 0 0
1677056109964;setting manual 0 0
1677056110965;setting manual 0 0
1677056111981;setting manual 0 0
