timestamp;x;y;theta
1677146258057;0;0;0
1677146258087;0;0;0
1677146258098;0;0;0
1677146258121;0;0;0
1677146258145;0;0;0
1677146258158;0;0;0
1677146258178;0;0;0
1677146258198;0;0;0
1677146258223;0;0;0
1677146258244;0;0;0
1677146258263;0;0;0
1677146258280;0;0;0
1677146258303;0;0;0
1677146258320;0;0;0
1677146258346;0;0;0
1677146258363;0;0;0
1677146258379;0;0;0
1677146258406;0;0;0
1677146258427;0;0;0
1677146258445;0;0;0
1677146258468;0;0;0
1677146258488;0;0;0
1677146258503;0;0;0
1677146258527;0;0;0
1677146258545;0;0;0
1677146258558;0;0;0
1677146258584;0;0;0
1677146258598;0;0;0
1677146258627;0;0;0
1677146258646;0;0;0
1677146258665;0;0;0
1677146258679;0;0;0
1677146258702;0;0;0
1677146258728;0;0;0
1677146258745;0;0;0
1677146258764;0;0;0
1677146258779;0;0;0
1677146258805;0;0;0
1677146258821;0;0;0
1677146258841;0;0;0
1677146258858;0;0;0
1677146258878;0;0;0
1677146258902;0;0;0
1677146258923;0;0;0
1677146258939;0;0;0
1677146258962;0;0;0
1677146258980;0;0;0
1677146259008;0;0;0
1677146259021;0;0;0
1677146259045;0;0;0
1677146259072;0;0;0
1677146259079;0;0;0
1677146259101;0;0;0
1677146259122;0;0;0
1677146259139;0;0;0
1677146259164;0;0;0
1677146259178;0;0;0
1677146259202;0;0;0
1677146259219;0;0;0
1677146259248;0;0;0
1677146259262;0;0;0
1677146259283;0;0;0
1677146259300;0;0;0
1677146259319;0;0;0
1677146259341;0;0;0
1677146259363;0;0;0
1677146259384;0;0;0
1677146259402;0;0;0
1677146259422;0;0;0
1677146259438;0;0;0
1677146259463;0;0;0
1677146259484;0;0;0
1677146259505;0;0;0
1677146259519;0;0;0
1677146259544;0;0;0
1677146259567;0;0;0
1677146259584;0;0;0
1677146259606;0;0;0
1677146259622;0;0;0
1677146259640;0;0;0
1677146259663;0;0;0
1677146259689;0;0;0
1677146259706;0;0;0
1677146259728;0;0;0
1677146259742;0;0;0
1677146259761;0;0;0
1677146259789;0;0;0
1677146259805;0;0;0
1677146259822;0;0;0
1677146259840;0;0;0
1677146259866;0;0;0
1677146259887;0;0;0
1677146259906;0;0;0
1677146259924;0;0;0
1677146259940;0;0;0
1677146259958;0;0;0
1677146259988;0;0;0
1677146260005;0;0;0
1677146260023;0;0;0
1677146260039;0;0;0
1677146260059;0;0;0
1677146260089;0;0;0
1677146260105;0;0;0
1677146260122;0;0;0
1677146260139;0;0;0
1677146260158;0;0;0
1677146260187;0;0;0
1677146260199;0;0;0
1677146260222;0;0;0
1677146260238;0;0;0
1677146260263;0;0;0
1677146260282;0;0;0
1677146260301;0;0;0
1677146260323;0;0;0
1677146260339;0;0;0
1677146260364;0;0;0
1677146260382;0;0;0
1677146260403;0;0;0
1677146260420;0;0;0
1677146260453;0;0;0
1677146260459;0;0;0
1677146260481;0;0;0
1677146260500;0;0;0
1677146260522;0;0;0
1677146260538;0;0;0
1677146260569;0;0;0
1677146260584;0;0;0
1677146260610;0;0;0
1677146260626;0;0;0
1677146260642;0;0;0
1677146260671;0;0;0
1677146260683;0;0;0
1677146260707;0;0;0
1677146260724;0;0;1.8000000000000005
1677146260738;0;0;3.5999999999999983
1677146260773;0;0;5.399999999999996
1677146260787;0;0;7.199999999999993
