timestamp;x;y;theta
1677098607625;-0.7346;0.5912;0
1677098607650;-0.7346;0.5912;0
1677098607667;-0.7346;0.5912;0
1677098607690;-0.7346;0.5912;0
1677098607705;-0.7346;0.5912;0
1677098607732;-0.7346;0.5912;0
1677098607752;-0.7346;0.5912;0
1677098607772;-0.7346;0.5912;0
1677098607787;-0.7346;0.5912;0
1677098607805;-0.7346;0.5912;0
1677098607832;-0.7346;0.5912;0
1677098607848;-0.7346;0.5912;0
1677098607866;-0.7346;0.5912;0
1677098607886;-0.7346;0.5912;0
1677098607906;-0.7346;0.5912;0
1677098607924;-0.7346;0.5912;0
1677098607955;-0.7346;0.5912;0
1677098607974;-0.7346;0.5912;0
1677098607995;-0.7346;0.5912;0
1677098608006;-0.7346;0.5912;0
1677098608024;-0.7346;0.5912;0
1677098608043;-0.7346;0.5912;0
1677098608073;-0.7346;0.5912;0
1677098608089;-0.7346;0.5912;0
1677098608108;-0.7346;0.5912;0
1677098608124;-0.7346;0.5912;0
1677098608152;-0.7346;0.5912;0
1677098608172;-0.7346;0.5912;0
1677098608190;-0.7346;0.5912;0
1677098608207;-0.7346;0.5912;0
1677098608225;-0.7346;0.5912;0
1677098608254;-0.7346;0.5912;0
1677098608264;-0.7346;0.5912;0
1677098608290;-0.7346;0.5912;0
1677098608306;-0.7346;0.5912;0
1677098608325;-0.7346;0.5912;0
1677098608345;-0.7346;0.5912;0
1677098608378;-0.7346;0.5912;0
1677098608393;-0.7346;0.5912;0
1677098608409;-0.7346;0.5912;0
1677098608425;-0.7346;0.5912;0
1677098608466;-0.7346;0.5912;0
1677098608468;-0.7346;0.5912;0
1677098608487;-0.7346;0.5912;0
1677098608507;-0.7346;0.5912;0
1677098608523;-0.7346;0.5912;0
1677098608553;-0.7346;0.5912;0
1677098608570;-0.7346;0.5912;0
1677098608589;-0.7346;0.5912;0
1677098608605;-0.7346;0.5912;0
1677098608625;-0.7346;0.5912;0
1677098608654;-0.7346;0.5912;0
1677098608670;-0.7346;0.5912;0
1677098608688;-0.7346;0.5912;0
1677098608705;-0.7346;0.5912;0
1677098608723;-0.7346;0.5912;0
1677098608750;-0.7346;0.5912;0
1677098608769;-0.7346;0.5912;0
1677098608789;-0.7346;0.5912;0
1677098608806;-0.7346;0.5912;0
1677098608823;-0.7346;0.5912;0
1677098608850;-0.7346;0.5912;0
1677098608868;-0.7346;0.5912;0
1677098608888;-0.7346;0.5912;0
1677098608905;-0.7346;0.5912;0
1677098608923;-0.7346;0.5912;0
1677098608953;-0.7346;0.5912;0
1677098608967;-0.7346;0.5912;0
1677098608989;-0.7346;0.5912;0
1677098609007;-0.7346;0.5912;0
1677098609024;-0.7346;0.5912;0
1677098609044;-0.7346;0.5912;0
1677098609073;-0.7346;0.5912;0
1677098609090;-0.7346;0.5912;0
1677098609109;-0.7346;0.5912;0
1677098609125;-0.7346;0.5912;0
1677098609157;-0.7346;0.5912;0
1677098609173;-0.7346;0.5912;0
1677098609191;-0.7346;0.5912;0
1677098609208;-0.7346;0.5912;0
1677098609225;-0.7346;0.5912;0
1677098609249;-0.7346;0.5912;0
1677098609265;-0.7346;0.5912;0
1677098609290;-0.7346;0.5912;0
1677098609307;-0.7346;0.5912;0
1677098609325;-0.7346;0.5912;0
1677098609343;-0.7346;0.5912;0
1677098609371;-0.7346;0.5912;0
1677098609391;-0.7346;0.5912;0
1677098609409;-0.7346;0.5912;0
1677098609425;-0.7346;0.5912;0
1677098609449;-0.7346;0.5912;0
1677098609469;-0.7346;0.5912;0
1677098609489;-0.7346;0.5912;0
1677098609506;-0.7346;0.5912;0
1677098609524;-0.7346;0.5912;0
1677098609556;-0.7346;0.5912;0
1677098609566;-0.7346;0.5912;0
1677098609587;-0.7346;0.5912;0
1677098609603;-0.7346;0.5912;0
1677098609623;-0.7346;0.5912;0
1677098609652;-0.7346;0.5912;0
1677098609668;-0.7346;0.5912;0
1677098609689;-0.7346;0.5912;0
1677098609705;-0.7346;0.5912;0
1677098609723;-0.7346;0.5912;0
1677098609751;-0.7346;0.5912;0
1677098609768;-0.7346;0.5912;0
1677098609789;-0.7346;0.5912;0
1677098609805;-0.7346;0.5912;0
1677098609824;-0.7346;0.5912;0
1677098609851;-0.7346;0.5912;0
1677098609864;-0.7346;0.5912;0
1677098609884;-0.7346;0.5912;0
1677098609915;-0.7346;0.5912;0
1677098609924;-0.7346;0.5912;0
1677098609954;-0.7346;0.5912;0
1677098609968;-0.7346;0.5912;0
1677098609990;-0.7246000000000011;0.5912;0
1677098610007;-0.7146000000000022;0.5912;0
1677098610023;-0.7046000000000033;0.5912;0
1677098610044;-0.6946000000000044;0.5912;0
1677098610074;-0.6846000000000055;0.5912;0
1677098610090;-0.6746000000000066;0.5912;0
1677098610107;-0.6646000000000077;0.5912;0
1677098610126;-0.6546000000000088;0.5912;0
1677098610143;-0.6446000000000099;0.5912;0
1677098610168;-0.634600000000011;0.5912;0
1677098610189;-0.6246000000000121;0.5912;0
1677098610208;-0.6146000000000132;0.5912;0
1677098610225;-0.6046000000000143;0.5912;0
1677098610243;-0.5946000000000154;0.5912;0
1677098610273;-0.5846000000000166;0.5912;0
1677098610291;-0.5746000000000177;0.5912;0
1677098610308;-0.5646000000000188;0.5912;0
1677098610326;-0.5546000000000199;0.5912;0
1677098610358;-0.544600000000021;0.5912;0
1677098610364;-0.5346000000000221;0.5912;0
1677098610391;-0.5246000000000232;0.5912;0
1677098610407;-0.5146000000000243;0.5912;0
1677098610426;-0.5046000000000254;0.5912;0
1677098610443;-0.49460000000002585;0.5912;0
1677098610470;-0.48460000000002584;0.5912;0
1677098610487;-0.47460000000002583;0.5912;0
1677098610506;-0.4646000000000258;0.5912;0
1677098610523;-0.4546000000000258;0.5912;0
1677098610553;-0.4446000000000258;0.5912;0
1677098610569;-0.4346000000000258;0.5912;0
1677098610589;-0.4246000000000258;0.5912;0
1677098610606;-0.4146000000000258;0.5912;0
1677098610624;-0.4046000000000258;0.5912;0
1677098610649;-0.39460000000002576;0.5912;0
1677098610672;-0.38460000000002575;0.5912;0
1677098610687;-0.37460000000002575;0.5912;0
1677098610706;-0.36460000000002574;0.5912;0
1677098610724;-0.35460000000002573;0.5912;0
