timestamp;x;y;theta
1677142634923;-0.7346;0.5912;0
1677142634938;-0.7346;0.5912;0
1677142634960;-0.7346;0.5912;0
1677142634978;-0.7346;0.5912;0
1677142634995;-0.7346;0.5912;0
1677142635019;-0.7346;0.5912;0
1677142635044;-0.7346;0.5912;0
1677142635062;-0.7346;0.5912;0
1677142635079;-0.7346;0.5912;0
1677142635095;-0.7346;0.5912;0
1677142635126;-0.7346;0.5912;0
1677142635139;-0.7346;0.5912;0
1677142635163;-0.7346;0.5912;0
1677142635183;-0.7346;0.5912;0
1677142635209;-0.7346;0.5912;0
1677142635215;-0.7346;0.5912;0
1677142635243;-0.7346;0.5912;0
1677142635268;-0.7346;0.5912;0
1677142635281;-0.7346;0.5912;0
1677142635298;-0.7346;0.5912;0
1677142635323;-0.7346;0.5912;0
1677142635336;-0.7346;0.5912;0
1677142635362;-0.7346;0.5912;0
1677142635377;-0.7346;0.5912;0
1677142635395;-0.7346;0.5912;0
1677142635419;-0.7346;0.5912;0
1677142635443;-0.7346;0.5912;0
1677142635460;-0.7346;0.5912;0
1677142635480;-0.7346;0.5912;0
1677142635495;-0.7346;0.5912;0
1677142635523;-0.7346;0.5912;0
1677142635539;-0.7346;0.5912;0
1677142635556;-0.7346;0.5912;0
1677142635577;-0.7346;0.5912;0
1677142635596;-0.7346;0.5912;0
1677142635620;-0.7346;0.5912;0
1677142635638;-0.7346;0.5912;0
1677142635659;-0.7346;0.5912;0
1677142635675;-0.7346;0.5912;0
1677142635695;-0.7346;0.5912;0
1677142635727;-0.7346;0.5912;0
1677142635739;-0.7346;0.5912;0
1677142635760;-0.7346;0.5912;0
1677142635779;-0.7346;0.5912;0
1677142635796;-0.7346;0.5912;0
1677142635821;-0.7346;0.5912;0
1677142635846;-0.7346;0.5912;0
1677142635863;-0.7346;0.5912;0
1677142635880;-0.7346;0.5912;0
1677142635895;-0.7346;0.5912;0
1677142635918;-0.7346;0.5912;0
1677142635938;-0.7346;0.5912;0
1677142635954;-0.7346;0.5912;0
1677142635978;-0.7346;0.5912;0
1677142635994;-0.7346;0.5912;0
1677142636015;-0.7346;0.5912;0
1677142636046;-0.7346;0.5912;0
1677142636063;-0.7346;0.5912;0
1677142636082;-0.7346;0.5912;0
1677142636096;-0.7346;0.5912;0
1677142636129;-0.7346;0.5912;0
1677142636142;-0.7346;0.5912;0
1677142636160;-0.7346;0.5912;0
1677142636179;-0.7346;0.5912;0
1677142636195;-0.7346;0.5912;0
1677142636220;-0.7346;0.5912;0
1677142636244;-0.7346;0.5912;0
1677142636263;-0.7346;0.5912;0
1677142636278;-0.7346;0.5912;0
1677142636294;-0.7346;0.5912;0
1677142636323;-0.7346;0.5912;0
1677142636339;-0.7346;0.5912;0
1677142636356;-0.7346;0.5912;0
1677142636378;-0.7346;0.5912;0
1677142636395;-0.7346;0.5912;0
1677142636422;-0.7346;0.5912;0
1677142636442;-0.7346;0.5912;0
1677142636462;-0.7346;0.5912;0
1677142636476;-0.7346;0.5912;0
1677142636494;-0.7346;0.5912;0
1677142636523;-0.7346;0.5912;0
1677142636539;-0.7346;0.5912;0
1677142636562;-0.7346;0.5912;0
1677142636579;-0.7346;0.5912;0
1677142636597;-0.7346;0.5912;0
1677142636616;-0.7346;0.5912;0
1677142636644;-0.7346;0.5912;0
1677142636660;-0.7346;0.5912;0
1677142636679;-0.7346;0.5912;0
1677142636696;-0.7346;0.5912;0
1677142636727;-0.7346;0.5912;0
1677142636741;-0.7346;0.5912;0
1677142636754;-0.7346;0.5912;0
1677142636777;-0.7346;0.5912;0
1677142636796;-0.7346;0.5912;0
1677142636821;-0.7346;0.5912;0
1677142636844;-0.7346;0.5912;0
1677142636861;-0.7346;0.5912;0
1677142636880;-0.7346;0.5912;0
1677142636896;-0.7346;0.5912;0
1677142636922;-0.7346;0.5912;0
1677142636942;-0.7346;0.5912;0
1677142636961;-0.7346;0.5912;0
1677142636980;-0.7346;0.5912;0
1677142636996;-0.7346;0.5912;0
1677142637014;-0.7346;0.5912;0
1677142637044;-0.7346;0.5912;0
1677142637061;-0.7346;0.5912;0
1677142637079;-0.7346;0.5912;0
1677142637096;-0.7346;0.5912;0
1677142637122;-0.7346;0.5912;0
1677142637142;-0.7346;0.5912;0
1677142637161;-0.7346;0.5912;0
1677142637179;-0.7346;0.5912;0
1677142637196;-0.7346;0.5912;0
1677142637215;-0.7346;0.5912;0
1677142637244;-0.7346;0.5912;0
1677142637263;-0.7246000000000011;0.5912;0
1677142637279;-0.7146000000000022;0.5912;0
1677142637295;-0.7046000000000033;0.5912;0
1677142637323;-0.6946000000000044;0.5912;0
1677142637340;-0.6846000000000055;0.5912;0
1677142637357;-0.6746000000000066;0.5912;0
